age	gender	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6
42	1	['цена', 'новый', 'группа', 'класс', 'подарок', 'размер', 'писать', 'мастер', 'получать', 'фото', 'см', 'цвет', 'приглашать', 'школа', 'вопрос']	['com', 'https', 'http', 'vk', 'ru', '_', 'id', 'www', 'amp', 'youtube', 'be', 'видео', 'отправлять', 'app', 'html']	['день', 'любить', 'любовь', 'друг', 'рождение', 'хороший', 'помогать', 'человек', 'праздник', 'ребенок', 'каждый', 'дорогой', 'пусть', 'девочка', 'нужный']			
58	1	['день', 'любовь', 'любить', 'друг', 'рождение', 'пусть', 'здоровье', 'хороший', 'поздравлять', 'дорогой', 'душа', 'праздник', 'счастие', 'каждый', 'добрый']	['ru', 'https', 'http', 'www', 'com', 'украина', 'видео', 'youtube', 'новость', 'страна', 'amp', 'be', '_', 'проект', 'youtu']	['com', 'vk', '_', 'фото', 'класс', 'http', 'город', 'фильм', 'открытка', 'новый', 'подарок', 'группа', 'отправлять', 'проходить', 'мастер']	['рецепт', 'масло', 'минута', 'добавлять', 'готовить', 'см', 'вода', 'чай', 'вкусный', 'кожа', 'цена', 'сахар', 'пирог', 'купить', 'ру']		
58	2	['день', 'друг', 'любовь', 'хороший', 'каждый', 'песня', 'душа', 'любить', 'жить', 'рождение', 'праздник', 'знать', 'пусть', 'здоровье', 'человек']	['город', 'фото', 'область', 'раион', 'проходить', 'первый', 'москва', 'александр', 'группа', 'проводить', 'победа', 'проект', 'рублея', 'работа', 'школа']	['написать', 'читать', 'бог', 'смерть', 'сын', 'дух', 'умирать', 'убивать', 'век', 'святой', 'брат', 'книга', 'вера', 'николай', 'божий']	['украина', 'путин', 'страна', 'воин', 'власть', 'история', 'сша', 'русский', 'который', 'рф', 'народ', 'какой', 'начинать', 'ссср', 'сеичас']	['ru', 'http', 'https', 'com', 'www', '_', 'фильм', 'html', 'amp', 'be', 'видео', 'vk', 'youtube', 'news', 'id']	
59	1	['день', 'любовь', 'друг', 'любить', 'пусть', 'рождение', 'поздравлять', 'хороший', 'здоровье', 'праздник', 'добрый', 'душа', 'дорогой', 'счастие', 'желать']	['человек', 'класс', 'город', 'украина', 'какой', 'ребенок', 'проходить', 'видео', 'получать', 'история', 'мастер', 'людей', 'воин', 'страна', 'новый']	['com', 'https', 'http', 'ru', 'vk', '_', 'www', 'app', 'youtube', 'рецепт', 'be', 'amp', 'отправлять', 'youtu', 'цена']			
59	2	['ru', 'http', 'https', 'com', 'www', 'украина', 'путин', '_', 'сша', 'страна', 'news', 'html', 'раион', 'область', 'рф']	['день', 'друг', 'новый', 'хороший', 'каждый', 'праздник', 'фото', 'рождение', 'фильм', 'история', 'первый', 'видео', 'поздравлять', 'ребенок', 'проходить']	['любовь', 'песня', 'душа', 'любить', 'сердце', 'amp', 'пусть', 'небо', '_', 'ночь', 'глаз', 'весна', 'utm', 'идти', 'солнце']	['человек', 'русский', 'воин', 'жить', 'людей', 'какой', 'народ', 'мир', 'думать', 'знать', 'нужный', 'другой', 'ссср', 'какои', 'земля']		
60	1	['день', 'любовь', 'любить', 'друг', 'рождение', 'пусть', 'здоровье', 'праздник', 'поздравлять', 'хороший', 'душа', 'дорогой', 'добрый', 'счастие', 'желать']	['рецепт', 'класс', 'получать', 'проект', 'новый', 'мастер', 'группа', 'школа', 'работать', 'город', 'приглашать', 'страна', 'работа', 'проходить', 'вопрос']	['com', 'http', 'ru', 'https', 'vk', '_', 'www', 'видео', 'открытка', 'отправлять', 'youtube', 'id', 'amp', 'украина', 'app']			
60	2	['день', 'любовь', 'друг', 'хороший', 'человек', 'жить', 'какой', 'праздник', 'песня', 'душа', 'каждый', 'новый', 'рождение', 'пусть', 'любить']	['http', 'ru', 'https', 'com', 'www', '_', 'youtube', 'html', 'news', 'amp', 'проект', 'новый', 'vk', 'школа', 'программа']	['путин', 'украина', 'страна', 'воин', 'сша', 'власть', 'русский', 'видео', 'президент', 'фильм', 'история', 'александр', 'россииский', 'рф', 'новость']			
61	1	['com', 'ru', 'http', 'https', 'vk', 'рецепт', '_', 'www', 'youtube', 'открытка', 'app', 'отправлять', 'mail', 'amp', 'watch']	['день', 'любовь', 'пусть', 'рождение', 'любить', 'друг', 'праздник', 'добрый', 'здоровье', 'поздравлять', 'дорогой', 'хороший', 'душа', 'каждый', 'жить']	['новый', 'проект', 'фильм', 'видео', 'класс', 'получать', 'книга', 'помогать', 'город', 'квартира', 'проходить', 'приглашать', 'человек', 'страна', 'принимать']			
61	2	['проходить', 'город', 'март', 'дом', 'детея', 'группа', 'школа', 'программа', 'раион', 'апрель', 'игра', 'команда', 'участие', 'сентябрь', 'февраль']	['украина', 'страна', 'путин', 'сша', 'воин', 'власть', 'новость', 'президент', 'россииский', 'рф', 'армения', 'москва', 'глава', 'сообщать', 'военный']	['com', 'https', 'день', 'друг', 'новый', 'видео', 'праздник', 'фильм', 'здоровье', 'youtube', 'поздравлять', 'рождение', '_', 'vk', 'новыя']	['любовь', 'хороший', 'человек', 'каждый', 'русский', 'фото', 'жить', 'какой', 'песня', 'любить', 'пусть', 'душа', 'знать', 'сердце', 'мир']	['людей', 'земля', 'нужный', 'народ', 'дорога', 'снег', 'убивать', 'хотеть', 'вода', 'враг', 'виктор', 'уничтожать', 'зима', 'самыя', 'дождь']	['http', 'ru', 'www', 'html', 'news', '_', 'cc', 'цена', 'саит', 'рублея', 'su', 'месяц', 'деньги', 'https', 'счет']
62	1	['com', 'https', 'http', 'ru', 'www', 'vk', 'youtube', '_', 'watch', 'рецепт', 'amp', 'be', 'открытка', 'youtu', 'отправлять']	['день', 'любовь', 'друг', 'любить', 'пусть', 'рождение', 'здоровье', 'поздравлять', 'праздник', 'хороший', 'дорогой', 'душа', 'добрый', 'сердце', 'желать']	['получать', 'украина', 'проект', 'новый', 'видео', 'история', 'город', 'группа', 'страна', 'человек', 'класс', 'русский', 'воин', 'библиотека', 'приглашать']			
62	2	['день', 'друг', 'любовь', 'человек', 'хороший', 'русский', 'праздник', 'песня', 'каждый', 'жить', 'поздравлять', 'рождение', 'любить', 'душа', 'здоровье']	['украина', 'путин', 'http', 'страна', 'ru', 'президент', 'сша', 'власть', 'воин', 'владимир', 'город', 'россииский', 'news', 'рф', 'москва']	['com', 'https', 'http', 'ru', 'www', '_', 'видео', 'amp', 'фото', 'youtube', 'vk', 'фильм', 'be', 'смотреть', 'id']	['di', 'il', 'la', 'che', 'non', 'in', 'per', 'the', 'dio', 'bazzlan', 'un', 'le', 'si', 'del', 'con']		
63	1	['смотреть', 'видео', 'рецепт', 'выборы', 'украина', 'получать', 'проект', 'класс', 'страна', 'школа', 'город', 'библиотека', 'монета', 'работа', 'путин']	['друг', 'день', 'пусть', 'хороший', 'праздник', 'любовь', 'дорогой', 'добрый', 'ребенок', 'новый', 'песня', 'желать', 'прекрасный', 'цветок', 'март']	['http', 'ru', 'com', 'https', 'www', 'vk', 'youtube', '_', 'рождение', 'здоровье', 'поздравлять', 'playcast', 'swf', 'amp', 'открытка']	['любить', 'человек', 'сердце', 'помогать', 'любовь', 'знать', 'сеичас', 'земля', 'жить', 'каждый', 'рука', 'какой', 'душа', 'думать', 'глаз']		
